Bachelor of Science in Global Economics and Modern Languages - Japanese, 7, 0, 7
Bachelor of Science in Global Economics and Modern Languages - Russian, 7, 0, 7
Bachelor of Science in Global Economics and Modern Languages - Spanish, 7, 0, 7
BS in History, Technology, and Society, 8, 9, 17
MS in History and Sociology of Technology and Science, 0, 0, 0
MS in Human-Computer Interaction, 1, 0, 1
BS in Industrial Design, 0, 0, 0
Bachelor of Science in Industrial Engineering - General, 3, 4, 7
Bachelor of Science in Industrial Engineering - Economic and Financial Systems, 3, 4, 7
Bachelor of Science in Industrial Engineering - Operations Research, 3, 4, 7
Bachelor of Science in Industrial Engineering -  Quality and Statistics, 3, 4, 7
Bachelor of Science in Industrial Engineering - Supply Chain Engineering, 3, 4, 7
BS in International Affairs, 6, 1, 7
Bachelor of Science in International Affairs and Modern Language - Chinese, 4, 0, 4
Bachelor of Science in International Affairs and Modern Language - French, 4, 0, 4
Bachelor of Science in International Affairs and Modern Language - German, 4, 0, 4
Bachelor of Science in International Affairs and Modern Language - Japanese, 7, 0, 7
Bachelor of Science in International Affairs and Modern Language - Russian, 4, 0, 4
Bachelor of Science in International Affairs and Modern Language - Spanish, 4, 0, 4
Bachelor of Science in Literature, Media, and Communication - Thread: Literature & Media, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Literature & Communication, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Literature & Design, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Literature & Social Justice, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Literature & Science, Technology, and Culture, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Media & Communication, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Media & Design, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Media & Social Justice, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Media & Science, Technology and Culture, 7, 2, 9
Bachelor of Science in Literature, Communication, and Media: Thread - Communication & Design, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Communication & Social Justice, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Communication & Science, Technology, and Culture, 7, 2, 9
Bachelor of Science in Literature, Communication, and Media: Thread - Design & Social Justice, 7, 2, 9
Bachelor of Science in Literature, Communication, and Media: Thread - Design & Science, Technology, & Culture, 7, 2, 9
Bachelor of Science in Literature, Media, and Communication - Thread: Social Justice and Science, Technology, and Culture, 7, 2, 9
Bachelor of Science in Materials Science and Engineering - Biomaterials, 1, 1, 2
Bachelor of Science in Materials Science and Engineering - Polymer and Fiber Materials, 1, 1, 2
Bachelor of Science in Materials Science and Engineering - Structural and Functional Materials, 1, 1, 2
Bachelor of Science in Mathematics - Applied Mathematics , 2, 0, 2
Bachelor of Science in Mathematics - Discrete Mathematics, 2, 0, 2
Bachelor of Science in Mathematics - Pure Mathematics, 2, 0, 2
Bachelor of Science in Mathematics - Probability and Statistics, 2, 0, 2
Bachelor of Science in Mathematics - Business Option, 2, 2, 4
Bachelor of Science in Mathematics - General, 2, 2, 4
MS in Mathematics, 0, 0, 0
Bachelor of Science in Mechanical Engineering - General, 3, 1, 4
Bachelor of Science in Mechanical Engineering - Automotive, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Automation and Robotic Systems, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Design, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Manufacturing, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Mechanics of Materials, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Micro- and Nanoengineering, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Nuclear Engineering, 1, 1, 2
Bachelor of Science in Mechanical Engineering - Thermal, Fluid, & Energy Systems, 1, 1, 2
Bachelor of Science in Music Technology - General, 3, 2, 5
Bachelor of Science in Music Technology - Electrical and Computer Engineering: Signal Processing, 2, 2, 4
Bachelor of Science in Music Technology - Mechanical Engineering: Acoustics and Vibrations, 2, 2, 4
Bachelor of Science in Music Technology - Mechanical Engineering: Controls and Robotics, 3, 2, 5
MS in Music Technology, 4, 1, 5
Bachelor of Science in Nuclear and Radiological Engineering - Nuclear Engineering Concentration, 0, 0, 0
Bachelor of Science in Nuclear and Radiological Engineering - Radiological Science and Engineering concentration, 0, 0, 0
BS in Neuroscience, 4, 4, 8
Bachelor of Science in Physics - General, 0, 0, 0
 Bachelor of Science in Physics - Astrophysics, 1, 0, 1
Bachelor of Science in Physics - Business Option, 0, 0, 0
MS in Physics, 2, 0, 2
Bachelor of Science in Psychology - General, 1, 0, 1
Bachelor of Science in Psychology - Business Option, 1, 0, 1
BS in Public Policy, 2, 0, 2
MS in Public Policy, 0, 0, 0
MS in Quantitative and Computational Finance, 1, 0, 1
MS in Statistics, 1, 0, 1
MS in Supply Chain Engineering, 0, 0, 0
MS in Urban Design, 1, 0, 1
